"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2012","82.32","76.00","84.20","75.71","302.35M","7.73%"
"09/01/2012","76.41","66.24","77.68","64.02","336.71M","16.21%"
"08/01/2012","65.75","73.20","74.79","65.20","201.43M","-9.98%"
"07/01/2012","73.04","68.33","73.45","57.00","273.76M","7.60%"
"06/01/2012","67.88","65.97","70.60","62.10","345.47M","2.90%"
"05/01/2012","65.97","70.40","70.58","58.80","263.02M","-5.68%"
"04/01/2012","69.94","73.97","76.18","69.10","246.28M","-5.18%"
"03/01/2012","73.76","68.46","77.74","66.20","478.85M","6.76%"
"02/01/2012","69.09","66.09","75.00","63.42","288.03M","4.54%"
"01/01/2012","66.09","48.00","66.63","46.10","372.21M","38.38%"
"12/01/2011","47.76","55.60","59.89","47.35","264.89M","-12.27%"
"11/01/2011","54.44","62.86","63.70","52.03","221.67M","-13.39%"
"10/01/2011","62.86","53.41","64.77","48.06","292.78M","15.32%"
"09/01/2011","54.51","56.02","60.08","51.20","258.76M","-1.80%"
"08/01/2011","55.51","62.41","63.77","50.40","272.85M","-10.66%"
"07/01/2011","62.13","63.00","66.90","58.99","218.59M","-0.45%"
"06/01/2011","62.41","60.59","63.56","49.80","232.61M","3.74%"
"05/01/2011","60.16","61.44","61.70","54.46","286.37M","-1.43%"
"04/01/2011","61.03","62.15","68.22","60.48","240.46M","-1.44%"
"03/01/2011","61.92","52.90","65.19","51.48","241.07M","20.94%"
"02/01/2011","51.20","52.94","57.68","46.71","255.06M","-2.70%"
"01/01/2011","52.62","63.00","63.54","49.41","435.99M","-15.89%"
"12/01/2010","62.56","61.78","68.35","55.40","255.56M","2.17%"
"11/01/2010","61.23","71.90","76.40","58.00","199.08M","-14.84%"
"10/01/2010","71.90","70.80","76.00","66.54","185.75M","2.67%"
"09/01/2010","70.03","62.51","71.74","62.46","192.27M","12.52%"
"08/01/2010","62.24","59.20","68.93","59.00","195.18M","5.26%"
"07/01/2010","59.13","53.40","60.94","53.17","220.40M","9.78%"
"06/01/2010","53.86","57.07","59.88","52.00","343.97M","-6.48%"
"05/01/2010","57.59","56.95","58.08","48.00","208.21M","0.81%"
"04/01/2010","57.13","51.56","59.60","49.00","187.94M","11.49%"
"03/01/2010","51.24","48.18","52.16","47.20","146.23M","8.28%"
"02/01/2010","47.32","50.00","51.51","44.50","141.19M","-5.08%"
"01/01/2010","49.85","53.76","57.55","46.26","224.49M","-6.35%"
"12/01/2009","53.23","50.94","55.68","48.60","190.02M","5.39%"
"11/01/2009","50.51","47.53","54.95","42.80","244.76M","6.00%"
"10/01/2009","47.65","39.60","52.40","36.91","372.12M","16.19%"
"09/01/2009","41.01","33.80","41.29","32.05","199.60M","22.45%"
"08/01/2009","33.49","32.00","35.40","29.00","181.91M","4.89%"
"07/01/2009","31.93","29.64","33.18","24.20","274.59M","7.26%"
"06/01/2009","29.77","25.58","31.13","23.00","513.49M","18.46%"
"05/01/2009","25.13","15.80","29.00","14.75","499.37M","62.76%"
"04/01/2009","15.44","10.18","17.48","9.90","559.55M","54.40%"
"03/01/2009","10.00","10.06","11.25","8.12","189.50M","-2.53%"
"02/01/2009","10.26","12.23","12.49","9.91","67.25M","-16.11%"
"01/01/2009","12.23","15.24","18.38","11.45","115.19M","-18.68%"
"12/01/2008","15.04","12.40","16.54","11.10","68.05M","22.88%"
"11/01/2008","12.24","14.40","17.76","11.29","73.41M","-10.26%"
"10/01/2008","13.64","24.70","25.00","11.00","133.35M","-43.45%"
"09/01/2008","24.12","26.80","29.80","21.63","93.45M","-10.13%"
"08/01/2008","26.84","25.00","28.84","24.85","105.47M","5.09%"
"07/01/2008","25.54","24.00","29.60","20.40","192.60M","11.33%"
"06/01/2008","22.94","31.88","32.20","22.60","133.35M","-26.29%"
"05/01/2008","31.12","34.60","36.82","30.00","78.06M","-8.71%"
"04/01/2008","34.09","34.23","35.78","28.50","248.73M","1.01%"
"03/01/2008","33.75","48.00","48.54","24.20","188.97M","-31.61%"
"02/01/2008","49.35","50.80","54.00","43.00","55.47M","-1.87%"
"01/01/2008","50.29","50.00","55.49","30.42","95.61M","0.86%"
"12/01/2007","49.86","46.69","54.00","41.33","64.52M","7.97%"
"11/01/2007","46.18","44.40","50.92","42.37","106.60M","6.26%"
"10/01/2007","43.46","42.00","47.20","32.79","167.73M","5.00%"
"09/01/2007","41.39","37.48","41.80","35.57","149.18M","11.96%"
"08/01/2007","36.97","38.00","39.00","30.11","83.77M","-2.51%"
"07/01/2007","37.92","36.48","40.98","34.95","75.80M","5.25%"
"06/01/2007","36.03","33.80","36.52","27.20","64.15M","7.26%"
"05/01/2007","33.59","30.68","36.14","28.90","63.93M","11.45%"
"04/01/2007","30.14","27.00","31.98","26.21","77.63M","7.64%"
"03/01/2007","28.00","28.86","31.58","23.30","175.71M","-1.51%"
"02/01/2007","28.43","30.20","32.60","26.20","47.97M","-5.77%"
"01/01/2007","30.17","27.10","34.10","26.90","41.79M","12.11%"
"12/01/2006","26.91","25.30","29.74","24.00","70.32M","6.45%"
"11/01/2006","25.28","23.00","28.36","21.46","54.12M","10.44%"
"10/01/2006","22.89","18.60","24.10","18.42","34.31M","23.80%"
"09/01/2006","18.49","18.02","18.89","16.90","18.55M","3.35%"
"08/01/2006","17.89","16.20","19.56","15.60","19.91M","11.39%"
"07/01/2006","16.06","15.99","17.76","13.60","13.75M","2.42%"
"06/01/2006","15.68","18.40","18.40","13.40","9.94M","-12.94%"
"05/01/2006","18.01","20.00","21.82","16.40","23.91M","-7.69%"
"04/01/2006","19.51","20.54","20.73","15.80","25.90M","-2.98%"
"03/01/2006","20.11","16.20","20.96","16.03","31.63M","24.37%"
"02/01/2006","16.17","15.49","16.92","15.40","30.74M","5.27%"
"01/01/2006","15.36","13.80","17.09","13.60","76.59M","12.28%"
"12/01/2005","13.68","13.30","15.43","13.20","37.20M","1.79%"
"11/01/2005","13.44","13.22","13.96","12.90","26.26M","3.46%"
"10/01/2005","12.99","13.37","14.43","12.43","107.64M","-2.11%"
"09/01/2005","13.27","13.59","14.79","12.24","138.21M","-1.04%"
"08/01/2005","13.41","12.61","14.86","12.55","385.26M","7.37%"
